Date,Ta_mean,Recon
1792-10,9.6,
1792-11,3.1,
1792-12,0.6,
1793-01,-3.2,
1793-02,1,
1793-03,4.1,
1793-04,6.7,
1793-05,11,
1793-06,15,
1793-07,19.7,
1793-08,18.7,
1793-09,12.9,
1793-10,9.8,
1793-11,3.2,
1793-12,0.4,
1794-01,-1.6,
1794-02,3.3,
1794-03,6.2,
1794-04,11,
1794-05,12.4,
1794-06,16.2,
1794-07,20.2,
1794-08,16.1,
1794-09,11.7,
1794-10,8.3,
1794-11,4.2,
1794-12,-2.9,
1795-01,-7.1,
1795-02,0.5,
1795-03,3.1,
1795-04,10.2,
1795-05,13.8,
1795-06,16.1,
1795-07,15.4,
1795-08,17.6,
1795-09,14.9,
1795-10,11.2,
1795-11,1.6,
1795-12,1.3,
1796-01,0.1,
1796-02,0.9,
1796-03,0.9,
1796-04,7.9,
1796-05,12.4,
1796-06,15.4,
1796-07,16.9,
1796-08,17.2,
1796-09,15.3,
1796-10,8.3,
1796-11,2.6,
1796-12,-3,
1797-01,-1,
1797-02,-0.3,
1797-03,2.2,
1797-04,9.1,
1797-05,13.6,
1797-06,13.1,
1797-07,18.4,
1797-08,17.6,
1797-09,13.4,
1797-10,8,
1797-11,4.2,
1797-12,2,
1798-01,-1.2,
1798-02,-0.4,
1798-03,3.1,
1798-04,8.9,
1798-05,13.5,
1798-06,16.4,
1798-07,17.2,
1798-08,16.8,
1798-09,13.5,
1798-10,8.5,
1798-11,3.6,
1798-12,-2.6,
1799-01,-6.3,
1799-02,1.4,
1799-03,2.8,
1799-04,5,
1799-05,11.1,
1799-06,14.3,
1799-07,16,
1799-08,16.8,
1799-09,13.2,
1799-10,8.2,
1799-11,2.5,
1799-12,-4.6,
1800-01,-0.3,
1800-02,-0.7,
1800-03,1.7,
1800-04,11,
1800-05,14.7,
1800-06,13.8,
1800-07,18.3,
1800-08,17.7,
1800-09,13.8,
1800-10,6.7,
1800-11,4.2,
1800-12,-1.2,
1801-01,-0.1,
1801-02,0.5,
1801-03,3.8,
1801-04,7.9,
1801-05,12.2,
1801-06,13.6,
1801-07,16.3,
1801-08,15.7,
1801-09,14.8,
1801-10,9,
1801-11,4.8,
1801-12,0.6,
1802-01,-6.4,
1802-02,-0.5,
1802-03,2.9,
1802-04,8.4,
1802-05,12.7,
1802-06,17,
1802-07,16.3,
1802-08,19.1,
1802-09,14.5,
1802-10,10.7,
1802-11,4,
1802-12,-0.1,
1803-01,-3.4,
1803-02,-3.4,
1803-03,2.5,
1803-04,9.8,
1803-05,10.5,
1803-06,15.7,
1803-07,18,
1803-08,18,
1803-09,11.5,
1803-10,6.8,*
1803-11,4.5,
1803-12,0.9,
1804-01,2.2,
1804-02,-2.2,
1804-03,2.8,
1804-04,8.1,
1804-05,14.8,
1804-06,17.6,
1804-07,16.7,
1804-08,16.1,*
1804-09,13.9,
1804-10,8.7,
1804-11,4,
1804-12,-1.7,
1805-01,-3.3,
1805-02,-0.5,
1805-03,2.1,
1805-04,6.2,
1805-05,11.4,
1805-06,14,
1805-07,15,
1805-08,15.4,
1805-09,13,
1805-10,5.7,
1805-11,0.2,
1805-12,-2.5,
1806-01,2,
1806-02,2.4,
1806-03,3.7,
1806-04,5.6,
1806-05,14.6,
1806-06,16.8,
1806-07,16.2,*
1806-08,15.7,
1806-09,13.1,
1806-10,8.3,*
1806-11,4.7,
1806-12,2.8,
1807-01,-3.3,
1807-02,1.3,
1807-03,0.3,
1807-04,6.8,
1807-05,14.6,
1807-06,15.6,
1807-07,19.7,
1807-08,20.5,*
1807-09,12.5,
1807-10,9.7,*
1807-11,3.9,
1807-12,-4.3,
1808-01,-2.4,
1808-02,-3.4,
1808-03,-0.3,
1808-04,5.8,
1808-05,15.2,
1808-06,13.8,
1808-07,18.1,
1808-08,17.4,*
1808-09,12.7,
1808-10,5.1,
1808-11,3.3,
1808-12,-5.6,
1809-01,0,
1809-02,3,
1809-03,4.2,
1809-04,3.8,
1809-05,12.8,
1809-06,14.4,
1809-07,16.4,
1809-08,16.3,
1809-09,11.6,
1809-10,5.6,
1809-11,0.7,
1809-12,-0.8,
1810-01,-6.7,
1810-02,-3.6,
1810-03,6.8,
1810-04,7.7,
1810-05,13.3,
1810-06,14.7,
1810-07,15.6,
1810-08,15.9,
1810-09,15.4,
1810-10,8.7,*
1810-11,3.7,
1810-12,1.3,
1811-01,-5.5,
1811-02,2.4,
1811-03,5.6,
1811-04,10.4,
1811-05,15.2,
1811-06,17.6,
1811-07,18.5,
1811-08,16.2,*
1811-09,14.2,
1811-10,10.8,
1811-11,3.8,
1811-12,-1.9,
1812-01,-7.3,
1812-02,1.8,
1812-03,3.4,
1812-04,5.7,
1812-05,13.7,
1812-06,14.8,
1812-07,15.6,
1812-08,15,
1812-09,12.2,
1812-10,8.2,*
1812-11,0.8,
1812-12,-4.1,
1813-01,-4.5,
1813-02,1.9,
1813-03,2.6,
1813-04,8.2,
1813-05,13.4,
1813-06,14.4,
1813-07,14.2,
1813-08,14,
1813-09,11.7,
1813-10,8,
1813-11,2.7,
1813-12,-1,
1814-01,-2.9,
1814-02,-4.9,
1814-03,1.4,
1814-04,8.7,
1814-05,10.9,
1814-06,14.6,
1814-07,16.4,
1814-08,15.3,*
1814-09,10.4,
1814-10,6.2,
1814-11,4.4,
1814-12,1.8,
1815-01,-5,
1815-02,2.3,
1815-03,5.9,
1815-04,9.2,
1815-05,14.1,
1815-06,14.3,
1815-07,15.4,
1815-08,14.5,
1815-09,12.4,
1815-10,8.7,
1815-11,0.3,
1815-12,-2.4,
1816-01,-2.1,
1816-02,-3.2,
1816-03,2.4,
1816-04,7.2,
1816-05,11.2,
1816-06,12.8,
1816-07,13.9,
1816-08,13.8,
1816-09,12.4,
1816-10,8.3,
1816-11,1.7,
1816-12,-1.8,
1817-01,0.3,
1817-02,3,
1817-03,3.2,
1817-04,4.3,
1817-05,11,
1817-06,16.6,
1817-07,15.6,
1817-08,15.1,
1817-09,15.4,
1817-10,4.9,
1817-11,3.4,
1817-12,-1.8,
1818-01,-1.2,
1818-02,1.4,
1818-03,3.3,
1818-04,9.2,
1818-05,11.5,
1818-06,16.5,
1818-07,18.1,
1818-08,16,*
1818-09,12.4,
1818-10,7.5,
1818-11,5,
1818-12,-2.1,
1819-01,-1.4,
1819-02,1,
1819-03,4.4,
1819-04,9.6,
1819-05,12.8,
1819-06,14.6,
1819-07,17.3,
1819-08,16.4,
1819-09,13.7,
1819-10,7.6,
1819-11,2.4,
1819-12,0.4,
1820-01,-3.4,
1820-02,0.7,
1820-03,1.7,
1820-04,10.4,
1820-05,12.9,
1820-06,13.8,
1820-07,16.4,
1820-08,18.5,
1820-09,11.4,
1820-10,7,
1820-11,0.5,
1820-12,-0.9,
1821-01,-0.7,
1821-02,-2.6,
1821-03,4.1,
1821-04,9.2,
1821-05,11.4,
1821-06,13.1,
1821-07,14.9,
1821-08,17.7,
1821-09,13.7,
1821-10,7.5,
1821-11,4.7,
1821-12,2.9,
1822-01,-0.7,
1822-02,2.1,
1822-03,7.5,
1822-04,8.7,
1822-05,15.1,
1822-06,20.2,
1822-07,17.4,
1822-08,16.2,
1822-09,14.1,
1822-10,9.6,
1822-11,5.4,
1822-12,-4.3,
1823-01,-3.1,
1823-02,2.1,
1823-03,3.3,
1823-04,6.9,
1823-05,13.6,
1823-06,13.9,
1823-07,16,
1823-08,16.8,
1823-09,14.2,
1823-10,7.3,
1823-11,1.2,
1823-12,1.6,
1824-01,-2.4,
1824-02,0.9,
1824-03,1.9,
1824-04,5.9,
1824-05,11.7,
1824-06,13.6,
1824-07,18.8,
1824-08,16.2,
1824-09,14.3,
1824-10,8.6,
1824-11,5.5,
1824-12,2.4,
1825-01,-3,
1825-02,-1,
1825-03,2.5,
1825-04,10.4,
1825-05,12.3,
1825-06,15.5,
1825-07,16.5,
1825-08,16.4,
1825-09,14.4,
1825-10,8.2,
1825-11,4.4,
1825-12,2.8,
1826-01,-7.7,
1826-02,1.2,
1826-03,4.4,
1826-04,7.8,
1826-05,10.1,
1826-06,15,
1826-07,17.8,
1826-08,18.9,
1826-09,14.8,
1826-10,9.4,
1826-11,2.1,
1826-12,0.2,
1827-01,-2.3,
1827-02,-4.5,
1827-03,4.2,
1827-04,9,
1827-05,13.8,
1827-06,14.8,
1827-07,19.7,
1827-08,15.8,
1827-09,12.8,
1827-10,9,
1827-11,0.9,
1827-12,2.7,
1828-01,1.2,
1828-02,0.9,
1828-03,4,
1828-04,8.2,
1828-05,13.6,
1828-06,16.6,
1828-07,17.3,
1828-08,15.7,
1828-09,13.9,
1828-10,8.3,
1828-11,3.4,
1828-12,0.2,
1829-01,-4.4,
1829-02,-2.3,
1829-03,4,
1829-04,8.6,
1829-05,12.6,
1829-06,14,
1829-07,17.1,
1829-08,15.2,
1829-09,11.9,
1829-10,6.8,
1829-11,1.1,
1829-12,-5,
1830-01,-8.2,
1830-02,-3.2,
1830-03,6,
1830-04,10.3,
