Date,Ta_mean,Recon
1816-11,3.5,
1816-12,0.9,
1817-01,2.2,
1817-02,4,
1817-03,4.5,
1817-04,5.9,
1817-05,11.6,
1817-06,17.4,
1817-07,17.5,
1817-08,16.9,
1817-09,17,
1817-10,7.4,
1817-11,5.7,
1817-12,0.5,
1818-01,-0.2,
1818-02,2.1,
1818-03,4.2,
1818-04,8.3,
1818-05,11.6,
1818-06,16.7,
1818-07,19.6,
1818-08,17.3,
1818-09,13.4,
1818-10,8.9,
1818-11,6.6,
1818-12,0.7,
1819-01,1.4,
1819-02,2.4,
1819-03,5.1,
1819-04,9.6,
1819-05,13.1,
1819-06,15.6,
1819-07,17.9,
1819-08,17.3,
1819-09,15,
1819-10,9.4,
1819-11,4.3,
1819-12,2.1,
1820-01,-0.6,
1820-02,2,
1820-03,2.7,
1820-04,10.9,
1820-05,13.7,
1820-06,15.2,
1820-07,17.1,
1820-08,18.8,
1820-09,12.2,
1820-10,8.9,
1820-11,2.2,
1820-12,1,
1821-01,1.6,
1821-02,-0.3,
1821-03,5.2,
1821-04,9.2,
1821-05,11.8,
1821-06,14,
1821-07,16.4,
1821-08,18.5,
1821-09,14.7,
1821-10,9.6,
1821-11,7.4,
1821-12,4.9,
1822-01,0.8,
1822-02,3.4,
1822-03,8.1,
1822-04,9.2,
1822-05,14.9,
1822-06,20.8,
1822-07,18.9,
1822-08,17.7,
1822-09,15.4,
1822-10,11.3,
1822-11,7.9,
1822-12,-0.3,
1823-01,-0.8,
1823-02,3.9,
1823-03,4.2,
1823-04,8,
1823-05,13.5,
1823-06,14.2,
1823-07,16.7,
1823-08,17.5,
1823-09,15,
1823-10,8,
1823-11,3.7,
1823-12,3.5,
1824-01,-0.4,
1824-02,1.8,
1824-03,2.3,
1824-04,6.1,
1824-05,11.6,
1824-06,13.8,
1824-07,18.8,
1824-08,16.9,
1824-09,14.1,
1824-10,8.6,
1824-11,6.1,
1824-12,3.7,
1825-01,0.4,
1825-02,1.5,
1825-03,3.5,
1825-04,10.6,
1825-05,12.6,
1825-06,16.5,
1825-07,18.1,
1825-08,18.4,
1825-09,16.6,
1825-10,10.8,
1825-11,6.7,
1825-12,5.6,
1826-01,-4.8,
1826-02,2.2,
1826-03,5.4,
1826-04,8.4,
1826-05,11.3,
1826-06,16.5,
1826-07,19.5,
1826-08,20.5,
1826-09,15.6,
1826-10,10.2,
1826-11,3.4,
1826-12,1.6,
1827-01,-0.9,
1827-02,-1.7,
1827-03,5.5,
1827-04,9.3,
1827-05,13.7,
1827-06,16.6,
1827-07,21.2,
1827-08,17.7,
1827-09,14.8,
1827-10,10.2,
1827-11,2.1,
1827-12,4.4,
1828-01,2.2,
1828-02,2.3,
1828-03,5,
1828-04,9.1,
1828-05,14,
1828-06,17.6,
1828-07,18.6,
1828-08,16.4,
1828-09,15.2,
1828-10,9.9,
1828-11,4.8,
1828-12,3,
1829-01,-1.7,
1829-02,0.1,
1829-03,4.7,
1829-04,8.2,
1829-05,12.7,
1829-06,15.4,
1829-07,17.9,
1829-08,16.3,
1829-09,12.4,
1829-10,7.3,
1829-11,2.8,
1829-12,-3,
1830-01,-5.5,
1830-02,-1.2,
1830-03,6.8,
1830-04,10.8,
1830-05,13,
1830-06,15.4,
1830-07,18.6,
1830-08,18.3,
1830-09,12.3,
1830-10,8.6,
1830-11,5.1,
1830-12,0.6,
1831-01,-2,
1831-02,1.1,
1831-03,6.1,
1831-04,10,
1831-05,12.6,
1831-06,16.5,
1831-07,18.2,
1831-08,17.5,
1831-09,12.9,
1831-10,11.6,
1831-11,5.1,
1831-12,2.7,
1832-01,-0.3,
1832-02,1.5,
1832-03,3.9,
1832-04,8.1,
1832-05,11.7,
1832-06,15.2,
1832-07,19.8,
1832-08,20.2,
1832-09,14.3,
1832-10,9.3,
1832-11,4.1,
1832-12,2,
1833-01,-0.7,
1833-02,4.7,
1833-03,3.5,
1833-04,7.1,*
1833-05,16,
1833-06,18,
1833-07,16.4,
1833-08,16.7,
1833-09,13,
1833-10,9.6,
1833-11,4.7,
1833-12,5.2,
1834-01,4.8,
1834-02,2.8,
1834-03,5.6,
1834-04,7.2,
1834-05,15.5,
1834-06,18.2,
1834-07,20.6,
1834-08,19.2,
1834-09,18.6,
1834-10,11,
1834-11,5.1,
1834-12,-0.2,
1835-01,0.8,
1835-02,3,
1835-03,3.7,
1835-04,8.2,
1835-05,13.2,
1835-06,17,
1835-07,21.2,
1835-08,18.2,
1835-09,14.5,
1835-10,8.1,
1835-11,1.7,
1835-12,-1.7,
1836-01,-0.3,
1836-02,0.5,
1836-03,6.6,
1836-04,7.2,
1836-05,11,
1836-06,17.4,
1836-07,20.4,
1836-08,18.7,
1836-09,13.4,
1836-10,9.5,
1836-11,5.1,
1836-12,2.5,
1837-01,-0.1,
1837-02,1.6,
1837-03,1.3,
1837-04,6,
1837-05,10.8,
1837-06,19.3,
1837-07,18.5,
1837-08,20,
1837-09,12.9,
1837-10,9.3,
1837-11,3.4,
1837-12,1.2,
1838-01,-5,
1838-02,0,
1838-03,4.6,
1838-04,5.9,
1838-05,13.2,
1838-06,16.5,
1838-07,18.7,
1838-08,17,
1838-09,13.8,
1838-10,9.1,
1838-11,6.2,
1838-12,1,
1839-01,-0.2,
1839-02,0.7,
1839-03,3.6,
1839-04,6.6,
1839-05,12.1,
1839-06,18.7,
1839-07,19.7,
1839-08,16.7,
1839-09,13.4,
1839-10,10.9,
1839-11,6.8,
1839-12,5.3,
1840-01,2.1,
1840-02,0.6,
1840-03,0.7,
1840-04,9.8,
1840-05,13.1,
1840-06,17.7,
1840-07,16.9,
1840-08,18.3,
1840-09,13.2,
1840-10,7.1,
1840-11,6.3,
1840-12,-2.3,
1841-01,-0.8,
1841-02,0.2,
1841-03,5.4,
1841-04,7.8,
1841-05,15.7,
1841-06,15.6,
1841-07,17,
1841-08,16.9,
1841-09,15,
1841-10,10.5,
1841-11,5.4,
1841-12,2.8,
1842-01,-2.4,
1842-02,-2.7,
1842-03,5.1,
1842-04,7.9,
1842-05,14,
1842-06,19.6,
1842-07,18.6,
1842-08,19.4,
1842-09,13.4,
1842-10,7.1,
1842-11,4,
1842-12,0.9,
1843-01,1.5,
1843-02,3.4,
1843-03,4.3,
1843-04,8.8,
1843-05,11.6,
1843-06,14.5,
1843-07,16.9,
1843-08,17.9,
1843-09,15.6,
1843-10,9.6,
1843-11,5.3,
1843-12,1.4,
1844-01,0,
1844-02,0.4,
1844-03,4,
1844-04,10.5,
1844-05,12.6,
1844-06,18.8,
1844-07,18.2,
1844-08,15.5,
1844-09,15.7,
1844-10,9.7,
1844-11,5.5,
1844-12,-0.2,
1845-01,1.4,
1845-02,-2.7,
1845-03,2.4,
1845-04,9.2,
1845-05,11.1,
1845-06,17.2,
1845-07,18.7,
1845-08,15.8,
1845-09,15.3,
