Date,Ta_mean,Recon
1793-08,18.8,
1793-09,13.2,
1793-10,10.1,
1793-11,3.9,
1793-12,1.2,
1794-01,-1,
1794-02,3.8,
1794-03,6.6,
1794-04,11.4,
1794-05,12.8,
1794-06,16.5,
1794-07,20.3,
1794-08,16.2,
1794-09,12,
1794-10,8.6,
1794-11,4.9,
1794-12,-2.1,
1795-01,-6.4,
1795-02,1.2,
1795-03,3.7,
1795-04,10.2,
1795-05,13.8,
1795-06,16.3,
1795-07,15,
1795-08,17.3,
1795-09,15.1,
1795-10,11.7,
1795-11,2.2,
1795-12,2.2,
1796-01,1,
1796-02,1.3,
1796-03,1.4,
1796-04,8,
1796-05,12.5,
1796-06,15.2,
1796-07,16.6,
1796-08,16.9,
1796-09,15.6,
1796-10,8.7,
1796-11,3.8,
1796-12,-1.7,
1797-01,0.1,
1797-02,0.2,
1797-03,2.6,
1797-04,9.6,
1797-05,14,
1797-06,13.2,
1797-07,18.3,
1797-08,17.7,
1797-09,13.6,
1797-10,7.8,
1797-11,5.2,
1797-12,2.9,
1798-01,-0.2,
1798-02,0.6,
1798-03,3.6,
1798-04,8.9,
1798-05,13.4,
1798-06,16.6,
1798-07,17,
1798-08,16.7,
1798-09,14.1,
1798-10,8.9,
1798-11,4.3,
1798-12,-2,
1799-01,-5.2,
1799-02,2.1,
1799-03,3.2,
1799-04,5.7,
1799-05,11.4,
1799-06,14.4,
1799-07,16.1,
1799-08,16.7,
1799-09,13.4,
1799-10,8.8,
1799-11,3,
1799-12,-4.7,
1800-01,0.3,
1800-02,-0.6,
1800-03,1.7,
1800-04,11.7,
1800-05,14.5,
1800-06,13.7,
1800-07,18,
1800-08,17.5,
1800-09,13.9,
1800-10,7.3,
1800-11,4.7,
1800-12,-0.3,
1801-01,0.9,
1801-02,1.3,
1801-03,4.6,
1801-04,8.3,
1801-05,12.8,
1801-06,14.1,
1801-07,16.6,
1801-08,15.9,
1801-09,14.7,
1801-10,9.4,
1801-11,5.3,
1801-12,1.4,
1802-01,-6.1,
1802-02,0.2,
1802-03,3.5,
1802-04,8.8,
1802-05,13.1,
1802-06,17.3,
1802-07,16.2,
1802-08,19.3,
1802-09,14.3,
1802-10,11,
1802-11,4.7,
1802-12,0.7,
1803-01,-2.8,
1803-02,-2.8,
1803-03,2.9,
1803-04,10.2,
1803-05,10.9,
1803-06,16,
1803-07,18.1,
1803-08,18.1,
1803-09,11.8,
1803-10,7.4,*
1803-11,5.2,
1803-12,1.7,
1804-01,2.8,
1804-02,-1.7,
1804-03,3.2,
1804-04,8.5,
1804-05,15.2,
1804-06,17.9,
1804-07,16.8,
1804-08,16.3,*
1804-09,14.2,
1804-10,9,
1804-11,4.7,
1804-12,-0.9,
1805-01,-2.7,
1805-02,0,
1805-03,2.5,
1805-04,6.6,
1805-05,11.8,
1805-06,14.3,
1805-07,15.1,
1805-08,15.5,
1805-09,13.3,
1805-10,6,
1805-11,0.9,
1805-12,-1.7,
1806-01,2.6,
1806-02,2.9,
1806-03,4.1,
1806-04,6,
1806-05,15,
1806-06,17.1,
1806-07,16.4,*
1806-08,15.8,
1806-09,13.4,
1806-10,9,*
1806-11,5.4,
1806-12,3.6,
1807-01,-2.5,
1807-02,1.7,
1807-03,0.3,
1807-04,7,
1807-05,14.3,
1807-06,15.4,
1807-07,20.3,
1807-08,21.2,
1807-09,12.6,
1807-10,10.6,
1807-11,4.6,
1807-12,-2.9,
1808-01,-1.2,
1808-02,-2.2,
1808-03,0.5,
1808-04,6.5,
1808-05,15.9,
1808-06,14.4,
1808-07,18.6,
1808-08,17.4,
1808-09,13.2,
1808-10,6.2,
1808-11,4.1,
1808-12,-4.6,
1809-01,0.7,
1809-02,3.6,
1809-03,4.1,
1809-04,4.4,
1809-05,13.3,
1809-06,14.8,
1809-07,16.5,
1809-08,16.4,
1809-09,11.9,
1809-10,5.9,
1809-11,1.4,
1809-12,0.4,
1810-01,-6.2,
