Date,Ta_mean,Std_err
1783-02,1.9,0.18
1783-03,2.9,0.18
1783-04,8.5,0.25
1783-05,13.7,0.24
1783-06,15.4,0.28
1783-07,20.1,0.27
1783-08,16.9,0.24
1783-09,13.9,0.21
1783-10,9.3,0.19
1783-11,3.9,0.15
1783-12,-0.8,0.16
1784-01,-3.8,0.17
1784-02,-2.6,0.19
1784-03,3.2,0.18
1784-04,5.2,0.23
1784-05,15.9,0.25
1784-06,16.1,0.27
1784-07,17.9,0.27
1784-08,15.4,0.24
1784-09,15.8,0.22
1784-10,4.7,0.17
1784-11,2.5,0.15
1784-12,-4.5,0.15
1785-01,-2.2,0.17
1785-02,-3.5,0.17
1785-03,-4.7,0.24
1785-04,4.6,0.34
1785-05,12.9,0.33
1785-06,15.6,0.33
1785-07,16.5,0.26
1785-08,15.5,0.24
1785-09,15,0.2
1785-10,7.9,0.17
1785-11,2.6,0.16
1785-12,-0.6,0.17
1786-01,-1.7,0.15
1786-02,0.1,0.18
1786-03,0.8,0.18
1786-04,9.1,0.22
1786-05,12,0.24
1786-06,17.1,0.27
1786-07,15.6,0.25
1786-08,15.4,0.23
1786-09,12.2,0.22
1786-10,5.7,0.17
1786-11,1.6,0.16
1786-12,-0.9,0.17
1787-01,-4.4,0.16
1787-02,-0.6,0.17
1787-03,4.9,0.19
1787-04,7,0.22
1787-05,9.8,0.33
1787-06,16.1,0.35
1787-07,16.4,0.25
1787-08,17.6,0.25
1787-09,13.6,0.22
1787-10,9.7,0.19
1787-11,3.3,0.15
1787-12,2.1,0.15
1788-01,-0.8,0.16
1788-02,2.1,0.17
1788-03,5.1,0.18
1788-04,8.3,0.22
1788-05,13.4,0.24
1788-06,16,0.27
1788-07,18.5,0.26
1788-08,16.3,0.22
1788-09,14.9,0.21
1788-10,7.3,0.18
1788-11,0,0.17
1788-12,-7.9,0.16
1789-01,-3.5,0.16
1789-02,1.6,0.19
1789-03,-0.1,0.21
1789-04,8.7,0.22
1789-05,14.3,0.24
1789-06,13.5,0.26
1789-07,16.7,0.25
1789-08,16.7,0.23
1789-09,13,0.19
1789-10,7.7,0.17
1789-11,1.5,0.16
1789-12,-1.4,0.17
1790-01,-1.4,0.23
1790-02,0.7,0.27
1790-03,3.8,0.27
1790-04,6.8,0.43
1790-05,13.3,0.41
1790-06,16.3,0.4
1790-07,15.5,0.39
1790-08,17.2,0.41
1790-09,12.1,0.45
1790-10,10.4,0.48
1790-11,3.6,0.51
1790-12,-0.4,0.52
1791-01,0.7,0.51
1791-02,-0.7,0.53
1791-03,3.1,0.47
1791-04,10.7,0.44
1791-05,12.3,0.41
1791-06,15.6,0.4
1791-07,17,0.39
1791-08,17.6,0.41
1791-09,12.9,0.45
1791-10,8.1,0.48
1791-11,0.8,0.51
1791-12,0.6,0.52
1792-01,-1.7,0.5
1792-02,-0.5,0.52
1792-03,4.5,0.47
1792-04,9.5,0.44
1792-05,11.4,0.41
1792-06,15.6,0.4
1792-07,17.4,0.39
1792-08,17.4,0.41
1792-09,12.2,0.45
1792-10,9.6,0.48
1792-11,3.1,0.51
1792-12,0.6,0.52
1793-01,-3.2,0.5
1793-02,1,0.53
1793-03,4.1,0.47
1793-04,6.7,0.33
1793-05,11,0.39
1793-06,15,0.4
1793-07,19.7,0.39
1793-08,18.7,0.41
1793-09,12.9,0.45
1793-10,9.8,0.48
1793-11,3.2,0.51
1793-12,0.4,0.52
1794-01,-1.6,0.5
1794-02,3.3,0.53
1794-03,6.2,0.47
1794-04,11,0.44
1794-05,12.4,0.41
1794-06,16.2,0.4
1794-07,20.2,0.39
1794-08,16.1,0.41
1794-09,11.7,0.45
1794-10,8.3,0.48
1794-11,4.2,0.51
1794-12,-2.9,0.52
1795-01,-7.1,0.5
1795-02,0.5,0.53
1795-03,3.1,0.47
1795-04,10.2,0.44
1795-05,13.8,0.41
1795-06,16.1,0.4
1795-07,15.4,0.39
1795-08,17.6,0.41
1795-09,14.9,0.45
1795-10,11.2,0.48
1795-11,1.6,0.51
1795-12,1.3,0.52
1796-01,0.1,0.5
1796-02,0.9,0.52
1796-03,0.9,0.47
1796-04,7.9,0.42
1796-05,12.4,0.41
1796-06,15.4,0.39
1796-07,16.9,0.39
1796-08,17.2,0.41
1796-09,15.3,0.45
1796-10,8.3,0.47
1796-11,2.6,0.24
1796-12,-3,0.52
1797-01,-1,0.26
1797-02,-0.3,0.17
1797-03,2.2,0.21
1797-04,9.1,0.27
1797-05,13.6,0.31
1797-06,13.1,0.33
1797-07,18.4,0.32
1797-08,17.6,0.28
1797-09,13.4,0.23
1797-10,8,0.18
1797-11,4.2,0.14
1797-12,2,0.12
1798-01,-1.2,0.13
1798-02,-0.4,0.18
1798-03,3.1,0.21
1798-04,8.9,0.27
1798-05,13.5,0.31
1798-06,16.4,0.33
1798-07,17.2,0.32
1798-08,16.8,0.28
1798-09,13.5,0.23
1798-10,8.5,0.18
1798-11,3.6,0.14
1798-12,-2.6,0.12
1799-01,-6.3,0.13
1799-02,1.4,0.17
1799-03,2.8,0.21
1799-04,5,0.27
1799-05,11.1,0.31
1799-06,14.3,0.33
1799-07,16,0.32
1799-08,16.8,0.29
1799-09,13.2,0.25
1799-10,8.2,0.17
1799-11,2.5,0.14
1799-12,-4.6,0.12
1800-01,-0.3,0.13
1800-02,-0.7,0.17
1800-03,1.7,0.21
1800-04,11,0.28
1800-05,14.7,0.31
1800-06,13.8,0.34
1800-07,18.3,0.33
1800-08,17.7,0.28
1800-09,13.8,0.23
1800-10,6.7,0.17
1800-11,4.2,0.14
1800-12,-1.2,0.22
1801-01,-0.1,0.13
1801-02,0.5,0.17
1801-03,3.8,0.21
1801-04,7.9,0.27
1801-05,12.2,0.31
1801-06,13.6,0.33
1801-07,16.3,0.31
1801-08,15.7,0.29
1801-09,14.8,0.27
1801-10,9,0.2
1801-11,4.8,0.13
1801-12,0.6,0.1
1802-01,-6.4,0.11
1802-02,-0.5,0.13
1802-03,2.9,0.16
1802-04,8.4,0.2
1802-05,12.7,0.22
1802-06,17,0.23
1802-07,16.3,0.27
1802-08,19.1,0.28
1802-09,14.5,0.27
1802-10,10.7,0.16
1802-11,4,0.11
1802-12,-0.1,0.1
1803-01,-3.4,0.11
1803-02,-3.4,0.13
1803-03,2.5,0.16
1803-04,9.8,0.2
1803-05,10.5,0.22
1803-06,15.7,0.24
1803-07,18,0.23
1803-08,18,0.22
1803-09,11.5,0.17
1803-10,NA,NA
1803-11,4.5,0.19
1803-12,0.9,0.15
1804-01,2.2,0.14
1804-02,-2.2,0.17
1804-03,2.8,0.2
1804-04,8.1,0.25
1804-05,14.8,0.28
1804-06,17.6,0.3
1804-07,16.7,0.31
1804-08,NA,NA
1804-09,13.9,0.22
1804-10,8.7,0.17
1804-11,4,0.14
1804-12,-1.7,0.13
1805-01,-3.3,0.14
1805-02,-0.5,0.17
1805-03,2.1,0.2
1805-04,6.2,0.25
1805-05,11.4,0.28
1805-06,14,0.3
1805-07,15,0.36
1805-08,15.4,0.27
1805-09,13,0.22
1805-10,5.7,0.17
1805-11,0.2,0.13
1805-12,-2.5,0.12
1806-01,2,0.12
1806-02,2.4,0.16
1806-03,3.7,0.2
1806-04,5.6,0.25
1806-05,14.6,0.28
1806-06,16.8,0.3
1806-07,NA,NA
1806-08,15.7,0.27
1806-09,13.1,0.22
1806-10,NA,NA
1806-11,4.7,0.13
1806-12,2.8,0.12
1807-01,-3.3,0.12
1807-02,1.3,0.16
1807-03,0.3,0.2
1807-04,6.8,0.25
1807-05,14.6,0.3
1807-06,15.6,0.3
1807-07,19.7,0.33
1807-08,NA,NA
1807-09,12.5,0.21
1807-10,NA,NA
1807-11,3.9,0.13
1807-12,-4.3,0.12
1808-01,-2.4,0.17
1808-02,-3.4,0.16
1808-03,-0.3,0.2
1808-04,5.8,0.25
1808-05,15.2,0.28
1808-06,13.8,0.3
1808-07,18.1,0.33
1808-08,NA,NA
1808-09,12.7,0.21
1808-10,5.1,0.16
1808-11,3.3,0.13
1808-12,-5.6,0.12
1809-01,0,0.12
1809-02,3,0.16
1809-03,4.2,0.19
1809-04,3.8,0.26
1809-05,12.8,0.28
1809-06,14.4,0.3
1809-07,16.4,0.29
1809-08,16.3,0.26
1809-09,11.6,0.21
1809-10,5.6,0.16
1809-11,0.7,0.14
1809-12,-0.8,0.13
1810-01,-6.7,0.13
1810-02,-3.6,0.16
1810-03,6.8,0.2
1810-04,7.7,0.25
1810-05,13.3,0.28
1810-06,14.7,0.3
1810-07,15.6,0.29
1810-08,15.9,0.26
1810-09,15.4,0.21
1810-10,NA,NA
1810-11,3.7,0.13
1810-12,1.3,0.12
1811-01,-5.5,0.13
1811-02,2.4,0.16
1811-03,5.6,0.2
1811-04,10.4,0.25
1811-05,15.2,0.28
1811-06,17.6,0.3
1811-07,18.5,0.3
1811-08,NA,NA
1811-09,14.2,0.21
1811-10,10.8,0.16
1811-11,3.8,0.13
1811-12,-1.9,0.12
1812-01,-7.3,0.13
1812-02,1.8,0.16
1812-03,3.4,0.2
1812-04,5.7,0.25
1812-05,13.7,0.28
1812-06,14.8,0.3
1812-07,15.6,0.29
1812-08,15,0.27
1812-09,12.2,0.21
1812-10,NA,NA
1812-11,0.8,0.14
1812-12,-4.1,0.13
1813-01,-4.5,0.13
1813-02,1.9,0.16
1813-03,2.6,0.21
1813-04,8.2,0.27
1813-05,13.4,0.28
1813-06,14.4,0.3
1813-07,14.2,0.31
1813-08,14,0.28
1813-09,11.7,0.22
1813-10,8,0.19
1813-11,2.7,0.13
1813-12,-1,0.13
1814-01,-2.9,0.13
1814-02,-4.9,0.17
1814-03,1.4,0.21
1814-04,8.7,0.26
1814-05,10.9,0.29
1814-06,14.6,0.3
1814-07,16.4,0.36
1814-08,NA,NA
1814-09,10.4,0.25
1814-10,6.2,0.21
1814-11,4.4,0.15
1814-12,1.8,0.14
1815-01,-5,0.14
1815-02,2.3,0.19
1815-03,5.9,0.21
1815-04,9.2,0.26
1815-05,14.1,0.28
1815-06,14.3,0.3
1815-07,15.4,0.29
1815-08,14.5,0.27
1815-09,12.4,0.24
1815-10,8.7,0.16
1815-11,0.3,0.15
1815-12,-2.4,0.12
1816-01,-2.1,0.13
1816-02,-3.2,0.16
1816-03,2.4,0.2
1816-04,7.2,0.25
1816-05,11.2,0.28
1816-06,12.8,0.3
1816-07,13.9,0.32
1816-08,13.8,0.26
1816-09,12.4,0.21
1816-10,8.3,0.17
1816-11,1.7,0.13
1816-12,-1.8,0.12
1817-01,0.3,0.13
1817-02,3,0.16
1817-03,3.2,0.2
1817-04,4.3,0.25
1817-05,11,0.28
1817-06,16.6,0.3
1817-07,15.6,0.29
1817-08,15.1,0.26
1817-09,15.4,0.21
1817-10,4.9,0.21
1817-11,3.4,0.13
1817-12,-1.8,0.12
1818-01,-1.2,0.13
1818-02,1.4,0.16
1818-03,3.3,0.2
