Date,Ta_mean,Std_err
1814-05,11.1,0.24
1814-06,15.4,0.26
1814-07,18.2,0.25
1814-08,16.9,0.23
1814-09,12.5,0.19
1814-10,8.2,0.16
1814-11,5.8,0.16
1814-12,3.6,0.15
1815-01,-3.2,0.15
1815-02,2.9,0.17
1815-03,6.6,0.18
1815-04,9.6,0.22
1815-05,14.2,0.24
1815-06,15.9,0.26
1815-07,18.1,0.25
1815-08,17.1,0.22
1815-09,15.2,0.19
1815-10,10.9,0.16
1815-11,NA,NA
1815-12,0.5,0.15
1816-01,0.1,0.15
1816-02,-0.3,0.16
1816-03,3.7,0.18
1816-04,7.8,0.22
1816-05,12.5,0.24
1816-06,14.1,0.26
1816-07,14.9,0.25
1816-08,15.2,0.22
1816-09,13.8,0.19
1816-10,9.9,0.16
1816-11,3.5,0.16
1816-12,0.9,0.15
1817-01,2.2,0.15
1817-02,4,0.17
1817-03,4.5,0.18
1817-04,5.9,0.22
1817-05,11.6,0.24
1817-06,17.4,0.26
1817-07,17.5,0.25
1817-08,16.9,0.22
1817-09,17,0.19
1817-10,7.4,0.16
1817-11,5.7,0.16
1817-12,0.5,0.15
1818-01,-0.2,0.15
1818-02,2.1,0.17
1818-03,4.2,0.18
1818-04,8.3,0.22
1818-05,11.6,0.24
1818-06,16.7,0.26
1818-07,19.6,0.25
1818-08,17.3,0.22
1818-09,13.4,0.19
1818-10,8.9,0.16
1818-11,6.6,0.16
1818-12,0.7,0.15
1819-01,1.4,0.15
1819-02,2.4,0.17
1819-03,5.1,0.18
1819-04,9.6,0.22
1819-05,13.1,0.24
1819-06,15.6,0.26
1819-07,17.9,0.25
1819-08,17.3,0.22
1819-09,15,0.19
1819-10,9.4,0.16
1819-11,4.3,0.16
1819-12,2.1,0.15
1820-01,-0.6,0.15
1820-02,2,0.16
1820-03,2.7,0.18
1820-04,10.9,0.22
1820-05,13.7,0.24
1820-06,15.2,0.26
1820-07,17.1,0.25
1820-08,18.8,0.22
1820-09,12.2,0.19
1820-10,8.9,0.16
1820-11,2.2,0.16
1820-12,1,0.15
1821-01,1.6,0.15
1821-02,-0.3,0.17
1821-03,5.2,0.18
1821-04,9.2,0.22
1821-05,11.8,0.24
1821-06,14,0.26
1821-07,16.4,0.25
1821-08,18.5,0.22
1821-09,14.7,0.19
1821-10,9.6,0.16
1821-11,7.4,0.16
1821-12,4.9,0.15
1822-01,0.8,0.15
1822-02,3.4,0.17
1822-03,8.1,0.18
1822-04,9.2,0.22
